#Teff log_g M_div_h F606W F814W 
5368.4211 1.8421053 0.071428571 0.103 0.711
6684.2105 0 0.5 0.229 0.561
5368.4211 1.8421053 0.5 0.131 0.74
5631.5789 1.8421053 -2.5 0.022 0.581
3263.1579 0 -1.2142857 -2.133 0.147
5631.5789 1.8421053 -2.0714286 0.03 0.588
5631.5789 1.8421053 -1.6428571 0.043 0.599
5631.5789 1.8421053 -1.2142857 0.061 0.614
5631.5789 1.8421053 -0.78571429 0.084 0.634
5631.5789 1.8421053 -0.35714286 0.11 0.657
5631.5789 1.8421053 0.071428571 0.142 0.687
5631.5789 1.8421053 0.5 0.172 0.72
5894.7368 1.8421053 -2.5 0.049 0.547
5894.7368 1.8421053 -2.0714286 0.058 0.555
6947.3684 0 -2.5 -0.177 0.127
5894.7368 1.8421053 -1.6428571 0.07 0.565
5894.7368 1.8421053 -1.2142857 0.087 0.579
5894.7368 1.8421053 -0.78571429 0.109 0.599
5894.7368 1.8421053 -0.35714286 0.135 0.622
5894.7368 1.8421053 0.071428571 0.169 0.653
5894.7368 1.8421053 0.5 0.202 0.688
6157.8947 1.8421053 -2.5 0.073 0.512
6157.8947 1.8421053 -2.0714286 0.08 0.518
6157.8947 1.8421053 -1.6428571 0.091 0.527
6157.8947 1.8421053 -1.2142857 0.107 0.541
6947.3684 0 -2.0714286 0.071 0.359
6157.8947 1.8421053 -0.78571429 0.129 0.56
6157.8947 1.8421053 -0.35714286 0.155 0.582
6157.8947 1.8421053 0.071428571 0.188 0.613
6157.8947 1.8421053 0.5 0.222 0.648
6421.0526 1.8421053 -2.5 0.092 0.472
6421.0526 1.8421053 -2.0714286 0.097 0.478
6421.0526 1.8421053 -1.6428571 0.106 0.487
6421.0526 1.8421053 -1.2142857 0.121 0.5
6421.0526 1.8421053 -0.78571429 0.142 0.517
6947.3684 0 -1.6428571 0.156 0.429
6421.0526 1.8421053 -0.35714286 0.167 0.539
6421.0526 1.8421053 0.071428571 0.199 0.569
6421.0526 1.8421053 0.5 0.234 0.602
6684.2105 1.8421053 -2.5 0.094 0.419
6684.2105 1.8421053 -2.0714286 0.108 0.435
6684.2105 1.8421053 -1.6428571 0.121 0.445
6684.2105 1.8421053 -1.2142857 0.133 0.455
6684.2105 1.8421053 -0.78571429 0.152 0.47
6684.2105 1.8421053 -0.35714286 0.174 0.49
6684.2105 1.8421053 0.071428571 0.204 0.517
6947.3684 0 -1.2142857 0.13 0.399
6684.2105 1.8421053 0.5 0.239 0.55
6947.3684 1.8421053 -2.5 0.089 0.362
6947.3684 1.8421053 -2.0714286 0.113 0.386
6947.3684 1.8421053 -1.6428571 0.129 0.398
6947.3684 1.8421053 -1.2142857 0.137 0.405
6947.3684 1.8421053 -0.78571429 0.156 0.419
6947.3684 1.8421053 -0.35714286 0.172 0.434
6947.3684 1.8421053 0.071428571 0.198 0.457
6947.3684 1.8421053 0.5 0.232 0.488
7210.5263 1.8421053 -2.5 0.093 0.314
6947.3684 0 -0.78571429 0.179 0.427
7210.5263 1.8421053 -2.0714286 0.109 0.332
7210.5263 1.8421053 -1.6428571 0.118 0.339
7210.5263 1.8421053 -1.2142857 0.127 0.346
7210.5263 1.8421053 -0.78571429 0.141 0.357
7210.5263 1.8421053 -0.35714286 0.159 0.371
7210.5263 1.8421053 0.071428571 0.181 0.39
7210.5263 1.8421053 0.5 0.214 0.421
7473.6842 1.8421053 -2.5 0.1 0.274
7473.6842 1.8421053 -2.0714286 0.091 0.27
7473.6842 1.8421053 -1.6428571 0.097 0.275
6947.3684 0 -0.35714286 0.118 0.405
7473.6842 1.8421053 -1.2142857 0.106 0.284
7473.6842 1.8421053 -0.78571429 0.12 0.295
7473.6842 1.8421053 -0.35714286 0.143 0.312
7473.6842 1.8421053 0.071428571 0.172 0.339
7473.6842 1.8421053 0.5 0.208 0.373
7736.8421 1.8421053 -2.5 0.097 0.233
7736.8421 1.8421053 -2.0714286 0.091 0.229
7736.8421 1.8421053 -1.6428571 0.101 0.237
7736.8421 1.8421053 -1.2142857 0.113 0.246
7736.8421 1.8421053 -0.78571429 0.125 0.257
6947.3684 0 0.071428571 0.119 0.397
7736.8421 1.8421053 -0.35714286 0.142 0.273
7736.8421 1.8421053 0.071428571 0.162 0.291
7736.8421 1.8421053 0.5 0.184 0.312
8000 1.8421053 -2.5 0.074 0.163
8000 1.8421053 -2.0714286 0.082 0.166
8000 1.8421053 -1.6428571 0.09 0.175
8000 1.8421053 -1.2142857 0.108 0.186
8000 1.8421053 -0.78571429 0.125 0.197
8000 1.8421053 -0.35714286 0.142 0.214
8000 1.8421053 0.071428571 0.151 0.23
6947.3684 0 0.5 0.172 0.454
8000 1.8421053 0.5 0.158 0.24
3000 2.1052632 -2.5 -1.296 0.455
3000 2.1052632 -2.0714286 -1.356 0.438
3000 2.1052632 -1.6428571 -1.497 0.435
