# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.5758701263   0.5758701263  -0.74612  3.71231    7.628   7.315   6.885   6.656   6.437   5.998   5.941
   0.5766067295   0.5766067295  -0.74287  3.71279    7.616   7.305   6.876   6.647   6.428   5.990   5.934
   0.5773433326   0.5773433326  -0.73961  3.71328    7.605   7.294   6.866   6.638   6.420   5.983   5.926
   0.5780799358   0.5780799358  -0.73635  3.71376    7.593   7.283   6.857   6.629   6.411   5.975   5.919
   0.5788165390   0.5788165390  -0.73309  3.71425    7.581   7.273   6.847   6.620   6.403   5.968   5.911
   0.5795531421   0.5795531421  -0.72983  3.71473    7.569   7.262   6.838   6.611   6.394   5.960   5.904
   0.5802897453   0.5802897453  -0.72657  3.71521    7.558   7.252   6.828   6.602   6.386   5.952   5.897
   0.5810263485   0.5810263485  -0.72331  3.71570    7.546   7.241   6.819   6.594   6.377   5.945   5.889
   0.5817629516   0.5817629516  -0.72004  3.71618    7.534   7.231   6.810   6.585   6.369   5.937   5.882
   0.5824995548   0.5824995548  -0.71678  3.71667    7.522   7.220   6.800   6.576   6.361   5.930   5.874
   0.5832361580   0.5832361580  -0.71351  3.71715    7.511   7.210   6.791   6.567   6.352   5.922   5.867
   0.5839727611   0.5839727611  -0.71025  3.71763    7.499   7.199   6.781   6.558   6.344   5.915   5.859
   0.5847093643   0.5847093643  -0.70698  3.71812    7.487   7.189   6.772   6.549   6.335   5.907   5.852
   0.5854459675   0.5854459675  -0.70371  3.71860    7.476   7.178   6.763   6.541   6.327   5.899   5.845
   0.5861825706   0.5861825706  -0.70044  3.71909    7.464   7.168   6.753   6.532   6.319   5.892   5.837
   0.5869191738   0.5869191738  -0.69717  3.71957    7.452   7.157   6.744   6.523   6.310   5.884   5.830
   0.5876557770   0.5876557770  -0.69390  3.72005    7.441   7.147   6.735   6.514   6.302   5.877   5.822
   0.5883923801   0.5883923801  -0.69063  3.72054    7.429   7.136   6.725   6.505   6.294   5.869   5.815
   0.5891289833   0.5891289833  -0.68736  3.72102    7.418   7.126   6.716   6.497   6.285   5.862   5.808
   0.5898655865   0.5898655865  -0.68408  3.72151    7.406   7.115   6.707   6.488   6.277   5.854   5.800
   0.5906021896   0.5906021896  -0.68081  3.72199    7.394   7.105   6.697   6.479   6.269   5.847   5.793
   0.5913387928   0.5913387928  -0.67753  3.72247    7.383   7.095   6.688   6.470   6.260   5.839   5.786
   0.5920753960   0.5920753960  -0.67425  3.72296    7.371   7.084   6.679   6.462   6.252   5.832   5.778
   0.5928119991   0.5928119991  -0.67097  3.72344    7.360   7.074   6.670   6.453   6.244   5.824   5.771
   0.5935486023   0.5935486023  -0.66769  3.72392    7.348   7.063   6.660   6.444   6.235   5.817   5.764
   0.5942852055   0.5942852055  -0.66441  3.72441    7.336   7.053   6.651   6.435   6.227   5.810   5.756
   0.5950218087   0.5950218087  -0.66112  3.72489    7.325   7.043   6.642   6.427   6.219   5.802   5.749
   0.5957584118   0.5957465128  -0.65784  3.72538    7.313   7.032   6.633   6.418   6.211   5.795   5.742
   0.5964950150   0.5964553663  -0.65455  3.72586    7.302   7.022   6.623   6.409   6.202   5.787   5.734
   0.5972316182   0.5971633344  -0.65126  3.72634    7.290   7.011   6.614   6.401   6.194   5.780   5.727
   0.5979682213   0.5978704216  -0.64797  3.72683    7.279   7.001   6.605   6.392   6.186   5.772   5.720
   0.5987048245   0.5985766321  -0.64468  3.72731    7.267   6.991   6.596   6.383   6.177   5.765   5.713
   0.5994414277   0.5992819678  -0.64139  3.72779    7.256   6.980   6.587   6.374   6.169   5.757   5.705
   0.6001780308   0.6000083948  -0.63809  3.72827    7.244   6.970   6.577   6.366   6.161   5.750   5.698
   0.6009146340   0.6008027937  -0.63479  3.72873    7.233   6.960   6.568   6.357   6.153   5.743   5.691
   0.6016512372   0.6015962130  -0.63149  3.72919    7.222   6.950   6.559   6.349   6.144   5.735   5.683
   0.6023878403   0.6023878403  -0.62819  3.72965    7.210   6.939   6.550   6.340   6.136   5.728   5.676
   0.6031244435   0.6031244435  -0.62488  3.73011    7.199   6.929   6.541   6.331   6.128   5.720   5.669
   0.6038610467   0.6038610467  -0.62157  3.73056    7.188   6.919   6.532   6.323   6.120   5.713   5.661
   0.6045976498   0.6045976498  -0.61827  3.73102    7.176   6.909   6.523   6.314   6.112   5.705   5.654
