#Teff log_g M_div_h F606W F814W 
6157.8947 1.8421053 -1.6428571 0.094 0.53
6157.8947 1.8421053 -1.2142857 0.111 0.544
6947.3684 0 -2.0714286 0.138 0.399
6157.8947 1.8421053 -0.78571429 0.135 0.564
6157.8947 1.8421053 -0.35714286 0.163 0.588
6157.8947 1.8421053 0.071428571 0.195 0.618
6157.8947 1.8421053 0.5 0.228 0.654
6421.0526 1.8421053 -2.5 0.091 0.474
6421.0526 1.8421053 -2.0714286 0.099 0.48
6421.0526 1.8421053 -1.6428571 0.11 0.49
6421.0526 1.8421053 -1.2142857 0.126 0.503
6421.0526 1.8421053 -0.78571429 0.148 0.521
6947.3684 0 -1.6428571 0.13 0.403
6421.0526 1.8421053 -0.35714286 0.175 0.545
6421.0526 1.8421053 0.071428571 0.208 0.574
6421.0526 1.8421053 0.5 0.242 0.609
6684.2105 1.8421053 -2.5 0.103 0.431
6684.2105 1.8421053 -2.0714286 0.11 0.437
6684.2105 1.8421053 -1.6428571 0.121 0.445
6684.2105 1.8421053 -1.2142857 0.135 0.457
6684.2105 1.8421053 -0.78571429 0.156 0.473
6684.2105 1.8421053 -0.35714286 0.183 0.494
6684.2105 1.8421053 0.071428571 0.209 0.521
6947.3684 0 -1.2142857 0.106 0.381
6684.2105 1.8421053 0.5 0.247 0.556
6947.3684 1.8421053 -2.5 0.114 0.386
6947.3684 1.8421053 -2.0714286 0.12 0.39
6947.3684 1.8421053 -1.6428571 0.128 0.397
6947.3684 1.8421053 -1.2142857 0.138 0.405
6947.3684 1.8421053 -0.78571429 0.157 0.421
6947.3684 1.8421053 -0.35714286 0.178 0.437
6947.3684 1.8421053 0.071428571 0.203 0.46
6947.3684 1.8421053 0.5 0.239 0.493
7210.5263 1.8421053 -2.5 0.101 0.327
6947.3684 0 -0.78571429 0.151 0.426
7210.5263 1.8421053 -2.0714286 0.105 0.33
7210.5263 1.8421053 -1.6428571 0.122 0.34
7210.5263 1.8421053 -1.2142857 0.132 0.348
7210.5263 1.8421053 -0.78571429 0.144 0.36
7210.5263 1.8421053 -0.35714286 0.165 0.375
7210.5263 1.8421053 0.071428571 0.188 0.394
7210.5263 1.8421053 0.5 0.218 0.424
7473.6842 1.8421053 -2.5 0.08 0.265
7473.6842 1.8421053 -2.0714286 0.085 0.268
7473.6842 1.8421053 -1.6428571 0.103 0.279
6947.3684 0 -0.35714286 0.136 0.393
7473.6842 1.8421053 -1.2142857 0.108 0.285
7473.6842 1.8421053 -0.78571429 0.127 0.299
7473.6842 1.8421053 -0.35714286 0.151 0.318
7473.6842 1.8421053 0.071428571 0.18 0.344
7473.6842 1.8421053 0.5 0.215 0.379
7736.8421 1.8421053 -2.5 0.089 0.227
7736.8421 1.8421053 -2.0714286 0.095 0.231
7736.8421 1.8421053 -1.6428571 0.103 0.238
7736.8421 1.8421053 -1.2142857 0.114 0.248
7736.8421 1.8421053 -0.78571429 0.129 0.26
6947.3684 0 0.071428571 0.089 0.375
7736.8421 1.8421053 -0.35714286 0.148 0.277
7736.8421 1.8421053 0.071428571 0.166 0.295
7736.8421 1.8421053 0.5 0.19 0.314
8000 1.8421053 -2.5 0.077 0.161
8000 1.8421053 -2.0714286 0.081 0.166
8000 1.8421053 -1.6428571 0.091 0.174
8000 1.8421053 -1.2142857 0.082 0.184
8000 1.8421053 -0.78571429 0.122 0.198
8000 1.8421053 -0.35714286 0.141 0.217
8000 1.8421053 0.071428571 0.151 0.235
6947.3684 0 0.5 0.172 0.434
8000 1.8421053 0.5 0.159 0.239
3000 2.1052632 -2.5 -1.296 0.513
3000 2.1052632 -2.0714286 -1.471 0.508
3000 2.1052632 -1.6428571 -1.925 0.476
3000 2.1052632 -1.2142857 -2.635 0.34
3000 2.1052632 -0.78571429 -3.295 0.106
3000 2.1052632 -0.35714286 -3.685 -0.194
3000 2.1052632 0.071428571 -3.91 -0.53
3000 2.1052632 0.5 -4.055 -0.827
3263.1579 2.1052632 -2.5 -0.979 0.545
3263.1579 2.1052632 -2.0714286 -1.084 0.532
7210.5263 0 -2.5 -0.059 0.25
3263.1579 2.1052632 -1.6428571 -1.385 0.492
3263.1579 2.1052632 -1.2142857 -1.885 0.395
3263.1579 2.1052632 -0.78571429 -2.5 0.223
3263.1579 2.1052632 -0.35714286 -3.078 -0.034
3263.1579 2.1052632 0.071428571 -3.529 -0.361
3263.1579 2.1052632 0.5 -3.875 -0.703
3526.3158 2.1052632 -2.5 -0.822 0.529
3526.3158 2.1052632 -2.0714286 -0.873 0.506
3526.3158 2.1052632 -1.6428571 -0.993 0.48
7210.5263 0 -2.0714286 -0.071 0.231
3526.3158 2.1052632 -1.2142857 -1.214 0.441
3263.1579 0 -0.78571429 -3.332 -0.137
3526.3158 2.1052632 -0.78571429 -1.544 0.379
3526.3158 2.1052632 -0.35714286 -1.954 0.286
3526.3158 2.1052632 0.071428571 -2.37 0.159
3526.3158 2.1052632 0.5 -2.718 0.01
3789.4737 2.1052632 -2.5 -0.664 0.524
3789.4737 2.1052632 -2.0714286 -0.682 0.503
3789.4737 2.1052632 -1.6428571 -0.712 0.491
3789.4737 2.1052632 -1.2142857 -0.768 0.483
3789.4737 2.1052632 -0.78571429 -0.862 0.48
7210.5263 0 -1.6428571 0.091 0.312
3789.4737 2.1052632 -0.35714286 -1.005 0.482
3789.4737 2.1052632 0.071428571 -1.198 0.484
3789.4737 2.1052632 0.5 -1.435 0.473
4052.6316 2.1052632 -2.5 -0.485 0.566
4052.6316 2.1052632 -2.0714286 -0.492 0.55
4052.6316 2.1052632 -1.6428571 -0.497 0.545
4052.6316 2.1052632 -1.2142857 -0.499 0.548
4052.6316 2.1052632 -0.78571429 -0.508 0.558
4052.6316 2.1052632 -0.35714286 -0.533 0.573
4052.6316 2.1052632 0.071428571 -0.59 0.594
7210.5263 0 -1.2142857 0.087 0.311
4052.6316 2.1052632 0.5 -0.69 0.62
4315.7895 2.1052632 -2.5 -0.316 0.623
4315.7895 2.1052632 -2.0714286 -0.318 0.611
4315.7895 2.1052632 -1.6428571 -0.318 0.607
4315.7895 2.1052632 -1.2142857 -0.314 0.61
4315.7895 2.1052632 -0.78571429 -0.308 0.62
4315.7895 2.1052632 -0.35714286 -0.303 0.635
4315.7895 2.1052632 0.071428571 -0.306 0.656
4315.7895 2.1052632 0.5 -0.33 0.682
4578.9474 2.1052632 -2.5 -0.195 0.651
7210.5263 0 -0.78571429 0.043 0.304
4578.9474 2.1052632 -2.0714286 -0.193 0.645
4578.9474 2.1052632 -1.6428571 -0.188 0.644
4578.9474 2.1052632 -1.2142857 -0.18 0.648
4578.9474 2.1052632 -0.78571429 -0.17 0.658
4578.9474 2.1052632 -0.35714286 -0.157 0.674
4578.9474 2.1052632 0.071428571 -0.145 0.696
4578.9474 2.1052632 0.5 -0.142 0.723
4842.1053 2.1052632 -2.5 -0.114 0.65
